Tipo,Periodo,Regiao,Arquivo,Tamanho_KB,Caminho_Origem,Caminho_Destino
ASSINATURA,4a e 5a,ENCERRAMENTO NACIONAL,assFeirassaiQuartaeQuinta1x1.mp4,11152.08,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\ASSINATURA\4a e 5a\ENCERRAMENTO NACIONAL\assFeirassaiQuartaeQuinta1x1.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\assinatura\4a e 5a\ENCERRAMENTO NACIONAL\assFeirassaiQuartaeQuinta1x1.mp4
ASSINATURA,6a e Sab,ENCERRAMENTO NACIONAL,assFeirassaiSextaeSabado9x16.mp4,10856.27,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\ASSINATURA\6a e Sab\ENCERRAMENTO NACIONAL\assFeirassaiSextaeSabado9x16.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\assinatura\6a e Sab\ENCERRAMENTO NACIONAL\assFeirassaiSextaeSabado9x16.mp4
CABECA,3a e 4a,CABECA MG,cabFeirassaiTercaeQuartaMg16x9.mp4,15482.52,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\3a e 4a\CABECA MG\cabFeirassaiTercaeQuartaMg16x9.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\3a e 4a\CABECA MG\cabFeirassaiTercaeQuartaMg16x9.mp4
CABECA,3a e 4a,CABECA MG,cabFeirassaiTercaeQuartaMg1x1.mp4,15472.21,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\3a e 4a\CABECA MG\cabFeirassaiTercaeQuartaMg1x1.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\3a e 4a\CABECA MG\cabFeirassaiTercaeQuartaMg1x1.mp4
CABECA,3a e 4a,CABECA NACIONAL,cabFeirassaiTercaeQuarta1x1.mp4,15448.35,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\3a e 4a\CABECA NACIONAL\cabFeirassaiTercaeQuarta1x1.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\3a e 4a\CABECA NACIONAL\cabFeirassaiTercaeQuarta1x1.mp4
CABECA,3a e 4a,CABECA NACIONAL,cabFeirassaiTercaeQuarta9x16.mp4,15544.32,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\3a e 4a\CABECA NACIONAL\cabFeirassaiTercaeQuarta9x16.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\3a e 4a\CABECA NACIONAL\cabFeirassaiTercaeQuarta9x16.mp4
CABECA,3a e 4a,CABECA NACIONAL,cabFeirassaiTercaeQuartaMg16x9.mp4,15399.23,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\3a e 4a\CABECA NACIONAL\cabFeirassaiTercaeQuartaMg16x9.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\3a e 4a\CABECA NACIONAL\cabFeirassaiTercaeQuartaMg16x9.mp4
CABECA,4a e 5a,CABECA NACIONAL,cabFeirassaiQuartaeQuinta16x9.mp4,14268.65,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\4a e 5a\CABECA NACIONAL\cabFeirassaiQuartaeQuinta16x9.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\4a e 5a\CABECA NACIONAL\cabFeirassaiQuartaeQuinta16x9.mp4
CABECA,4a e 5a,CABECA NACIONAL,cabFeirassaiQuartaeQuinta1x1.mp4,14653.2,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\4a e 5a\CABECA NACIONAL\cabFeirassaiQuartaeQuinta1x1.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\4a e 5a\CABECA NACIONAL\cabFeirassaiQuartaeQuinta1x1.mp4
CABECA,4a e 5a,CABECA NACIONAL,cabFeirassaiQuartaeQuinta9x16.mp4,14403.54,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\4a e 5a\CABECA NACIONAL\cabFeirassaiQuartaeQuinta9x16.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\4a e 5a\CABECA NACIONAL\cabFeirassaiQuartaeQuinta9x16.mp4
CABECA,6a e Sab,CABECA MG,cabFeirassaiSextaeSabadoMg1x1.mp4,15729.19,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\6a e Sab\CABECA MG\cabFeirassaiSextaeSabadoMg1x1.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\6a e Sab\CABECA MG\cabFeirassaiSextaeSabadoMg1x1.mp4
CABECA,6a e Sab,CABECA MG,cabFeirassaiSextaeSabadoMg9x16.mp4,15571.35,C:\Users\Mauro\Downloads\ANIVERSARIO FEIRASSAI\CABECA\6a e Sab\CABECA MG\cabFeirassaiSextaeSabadoMg9x16.mp4,C:\Users\Mauro\.cursor\automacaoAssai\campanhas_aniversario\cabeca\6a e Sab\CABECA MG\cabFeirassaiSextaeSabadoMg9x16.mp4
